timestamp,user_id,event,properties
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_8,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_3,$feature_flag_called,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_5,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_0,$pageview,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_6,click,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_6,click,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_6,click,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_6,click,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_6,click,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_6,click,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_6,click,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
2026-08-09 07:59:54.506826,user_6,click,"{""browser"": ""Chrome"", ""latency_ms"": 250}"
